fecha;NUMERO DE VIAJES (HOJA DE DISTRIB);REPARTO;UNIDAD;PUNTO DE PARTIDA;TIPO DE FLOTA (Propio o Tercero);PESO REQUERIDO;PESO ENTREGADO;PESO ENTREGADO A TIEMPO;NRO ENTREGAS EFECTUADAS (Nro Guias);NRO ENTREGAS RECHAZADAS (Nro Guias);CONSUMO D2;H. SALIDA;FLETE;H.INGRESO;TIEMPO REPARTO;KM INICIAL;KM FINAL;KM RECORRIDO (KM Inicial - KM Final);KM/GL;;;;;;;;;
28/10/2022;009-041097;TOTTUS;M14-016;Chiclayo, Perú;Propia;0,01;0,01;100%;1;0;1,835;8:06:00;S/ 0,00;12:30:00;4:24:00;187045;187100;55;29,97;;;;;;;;;
28/10/2022;64306;LOCAL;M14-016;Chiclayo, Perú;Propia;2995,00;2995,00;100%;2;0;1,702;14:00:00;S/ 1.196,80;19:41:00;5:41:00;187100;187151;51;29,97;;;;;;;;;
28/10/2022;64294;FUNDO;KLM-532;Trujillo,  Perú;Propia;644,00;644,00;100%;1;0;15,25;5:30:00;S/ 321,99;12:13:00;6:43:00;567612;567867;255;16,73;;;;;;;;;
28/10/2022;64296;FUNDO;SMG-875;Cajamarca, Perú;Propia;480,00;480,00;100%;1;0;5,108;5:20:00;S/ 240,00;10:03:00;4:43:00;66742;66886;144;28,19;;;;;;;;;
28/10/2022;64303;LOCAL;SMG-875;Cajamarca, Perú;Propia;3360,00;3360,00;100%;11;0;0,851;13:37:00;S/ 1.082,08;18:39:00;5:02:00;66886;66910;24;28,19;;;;;;;;;
28/10/2022;64278;LOCAL;PMN-125;Trujillo,  Perú;Propia;4308,80;4308,80;100%;10;0;1,888;8:50:00;S/ 1.154,28;12:09:00;3:19:00;72999;73023;24;12,71;;;;;;;;;
28/10/2022;64280;LOCAL;BRL-549;Chiclayo, Perú;Propia;3327,40;2896,60;87%;15;6;2,115;9:05:00;S/ 1.127,27;14:02:00;4:57:00;174550;174602;52;24,59;;;;;;;;;
28/10/2022;64333;LOCAL;BRL-549;Chiclayo, Perú;Propia;2020,85;2020,85;100%;25;0;1,586;15:49:00;S/ 913,55;19:26:00;3:37:00;174602;174641;39;24,59;;;;;;;;;
28/10/2022;64297;FUNDO;AKM-892;Piura, Perú;Propia;220,00;220,00;100%;3;0;2,09;8:00:00;S/ 46,79;10:30:00;2:30:00;140771;140820;49;23,44;;;;;;;;;
28/10/2022;64290;FUNDO;AKM-892;Piura, Perú;Propia;504,00;504,00;100%;1;0;4,34;10:46:00;S/ 201,60;15:19:00;4:33:00;140820;140921;101;23,26;;;;;;;;;
28/10/2022;64334;LOCAL;AKM-892;Piura, Perú;Propia;3143,00;3143,00;100%;1;0;1,61;15:56:00;S/ 815,92;0:00:00;8:04:00;140921;140958;37;23,01;;;;;;;;;
28/10/2022;64279;LOCAL;DIP-028;Chiclayo, Perú;Propia;4680,00;4680,00;100%;4;0;1,772;8:55:00;S/ 1.170,00;12:41:00;3:46:00;96099;96151;52;29,34;;;;;;;;;
28/10/2022;64317;LOCAL;DIP-028;Chiclayo, Perú;Propia;2367,02;2367,02;100%;15;0;0,784;14:40:00;S/ 899,82;17:43:00;3:03:00;96151;96174;23;29,34;;;;;;;;;
29/10/2022;64453;LOCAL;PMN-125;Trujillo,  Perú;Propia;2542,00;2542,00;100%;1;0;1,040;14:07:00;S/ 711,76;15:33:00;1:26:00;73047;73063;16;15,38;;;;;;;;;
